[125.00-154.98] Продолжение следует...
[150.00-152.88] Появился в Казахстане.
[250.00-279.52] Всем привет! [279.52-250.00]  [250.24-NA] и в субботу.
[1750.00-1753.50] 90 тысяч пиаров было проанализировано так или иначе, [1753.94-1755.50] иши с ним были все просмотрены, [1756.02-1758.68] иши обычно идут с какими-то кусками кода, [1759.36-1763.50] и мы должны на основании как раз-таки всех данных, [1763.54-1766.26] которые приведены в том или ином иши, [1766.66-1771.08] сгенерировать либо код, который сможет помочь решить это ишью, [1771.08-1773.60] и потом, собственно, сгенерировать тесты, [1773.70-1775.60] точнее, провести тесты под него, [1776.10-1750.00]  [1754.40-NA] потому что в этом бенчмарке они заранее все известны.
[1775.00-1784.84] под него потому что на в этом бенчмарке они заранее все известны ну вот да ты ими должны сгенерировать [1784.84-1794.40] решение это конец вот на этом бенчмарке тоже не особо большие какие-то результаты и достаточно [1794.40-1802.48] затюнены как будто бы только подход модели но выбиваются вперед то есть там не встретишь просто [1802.48-1775.00]  [1779.40-NA] как там не знаю в ds1000 джипить
[1800.00-1806.54] то есть там не встретишь просто как там не знаю в дэс тысячи джипе течет клауд нет тут встреч [1806.54-1815.66] конкретно какие-то вещи типа у дикта которые как-то запромтировали клад там и свои агент [1815.66-1823.20] опять же на клауде что-то связанное с чепики я не знаю название этого приложения так или иначе вот [1823.20-1827.78] то есть созданы там людьми специальный промпт какой-то какая-то инструкция которая позволяет [1827.78-1800.00]  [1802.18-NA] хорошо с этим печем как-то справляются.
[1825.00-1830.34] промпт какой-то какая-то инструкция которая позволяет хорошо с этим печем как-то справляться [1830.34-1838.02] можно профильтровать внутри самого бенчмарка найти там непосредственно просто какие-то модельки но [1838.02-1842.94] хотел показать именно вот это плюс метрики не особо сильно там опять же большие что говорит [1842.94-1848.70] о сложности такого бенчмарка но это бенчмарк крайне полезен потому что мы хотим видеть дальнейшем от [1848.70-1825.00]  [1831.12-NA] наших там кодовых помощников именно такой пример использовали.
[1850.00-1854.88] помощников именно такой пример использования. [1857.54-1860.02] Да, на бичмарках по коду все. [1862.12-1869.10] Мы хотим в целом в будущем от подобных помощников добиться как раз-таки генерации сложного кода. [1869.44-1872.12] Мультилайн это в целом уже достаточно сложная история. [1872.54-1876.70] Это не просто закончить предложение, это еще и как-то продолжить его, [1876.70-1850.00]  [1853.30-NA] написать несколько строчек кода, но мы хотим, чтобы такие помошники...
[1875.00-1878.26] как-то продолжить его, написать несколько строчек кода, [1878.42-1880.82] но мы хотим, чтобы такие помощники думали куда дальше, [1882.22-1887.18] возможно, написали как и целый скрипт, который поможет решить проблему внутри какого-то кода, [1887.52-1890.28] либо как-то оптимизирует целую библиотеку, [1891.30-1895.26] либо вообще сгенерирует целое репо под какую-то задачу, [1896.62-1899.46] которую можно будет из коробки запускать. [1899.46-1904.64] Пока таких решений, к сожалению, на рынке либо крайне мало, и они неэффективны, [1904.82-1875.00]  [1875.36-NA] от людей, которые не могут работать.
[1900.00-1906.14] таких решений, к сожалению, на рынке либо крайне малы, и они неэффективны, либо вообще в целом нет. [1907.30-1910.94] Мы хотим изобрести, естественно, специальную архитектуру, адаптированную под код, [1911.20-1915.68] ровно такую же, как мы это видели, к примеру, в модальности по видео, [1915.84-1921.30] когда мы делали какой-то проектор на токены, естественно, нового языка, [1921.56-1926.36] тот же проектор, к примеру, для кода, в целом, возможно, был бы хорошей идеей, [1926.36-1928.68] я таких исследований еще не видел и не находил.
[1925.00-1928.66] был хорошей идеей, я таких исследований еще не видел и не находил. [1929.68-1936.22] Возможно, мы хотим более умный способ работы с данными, [1936.82-1942.80] иметь связанных с кодом, как-то лучше использовать какой-то фильтринг, [1943.60-1948.10] понимать, какой код у нас может нести действительно большую ценность [1948.10-1950.30] для обучения модели. [1951.10-1925.00]  [1929.70-NA] В этом году мы хотим изобрести крутые бенчмарки, связанные
[1950.00-1951.90] модели. [1951.90-1955.24] Мы хотим изобрести крутые бенчмарки, связанные с [1955.24-1959.16] код-геном, потому что все текущие бенчмарки, они так [1959.16-1963.66] или иначе связаны на достаточно простые проблемы для текущих [1963.66-1966.16] помощников. [1966.16-1969.74] Помимо колд-бенча, там, SVE-бенча, мало что суперсложного [1969.74-1971.88] можно найти. [1971.88-1975.00] Мы хотим поддержку иметь не только там Python как языка, [1975.00-1979.42] мы хотим вообще в целом все языки, в том числе и низкоуровневые, [1979.42-1950.00]  [1950.58-NA] представляют.
[1975.00-1978.46] хотим вообще в целом все языки, в том числе низкоуровневые, [1978.88-1984.26] которые представляются в текущем там ландшафте, [1984.72-1988.96] очень редко, очень мало, но так или иначе, [1989.08-1992.34] как будто бы лампка умеет ходить в грамматике, [1992.34-1997.50] поэтому why not, почему бы не обучить там какие-то сложные, тяжелые языки, [1997.62-2000.22] почему бы не синтезировать там данные, [2000.64-1975.00]  [1979.64-NA] которые могут быть для подобного иската.
[2000.00-2009.36] которые могут быть для подобного языка релевантны. Мы хотим, естественно, иметь поддержку continuous [2009.36-2016.66] learning. Тут это супер сильно важно. Напоминаю, что такое это, когда мы продолжаем обучаться, [2016.66-2023.82] даже после тренинга, какой-то нашей очередной модельке. Мы хотим понимать, какие кодовые [2023.82-2028.74] фреймворки сейчас актуальны, что нам нужно сейчас обязательно, чтобы наша модель умела, [2028.74-2000.00]  [2001.26-NA] было, чтобы она была в порядке.
[2025.00-2031.30] что нам нужно сейчас обязательно чтобы наши модель умела чтобы она подстраивалась под текущие какие-то [2031.30-2041.18] обстоятельства к примеру там не знаю выходит новая там статья про какую-то там оптимизацию и мы хотим [2041.18-2046.24] естественно чтобы есть она революционная была то наш там универсальный помощник поддерживал подобный [2046.24-2054.94] алгоритм которые были бы реализованы в этом новом алгоритм ну да естественно хотим решить проблему [2054.94-2025.00]  [2054.98-NA] Благодарю вас за внимание.
[2050.00-2055.50] Ну да, естественно, хотим решить проблемы, связанные [2055.50-2056.50] с безопасностью. [2056.50-2061.66] На каком-то уровне такие ломки должны понимать, [2061.66-2064.52] где у нас находится там опасный код, где у нас находится [2064.52-2069.24] неопасный код, причем как-то предупреждать об этом пользователя, [2069.24-2071.86] предупреждать пользователь о возможных каких-то авторских [2071.86-2077.24] правах, либо об утечке данных, и как-то нивелировать это. [2077.24-2050.00]  [2052.96-NA] Это тоже будущий вызов, пока, естественно, не будет.
[2075.00-2080.92] И как-то нивелировать это, это тоже будущий вызов, пока естественное решение особо нет. [2082.42-2084.34] Теперь поговорим про аудио. [2085.02-2087.36] Олег, а можно вопрос про кодовую модальность? [2088.04-2092.54] У моделей будет такое же свойство, например, если, ну вот, когда обучают LLM, [2092.74-2096.38] большая часть данных на английском языке, добавляют немного языков, [2096.38-2098.36] например, русский, китайский. [2099.02-2103.00] И модель начинает с меньшим количеством данных понимать уже другие языки. [2103.18-2075.00]  [2077.00-NA] И такое же свойство есть на данном примере.
[2100.00-2105.42] с меньшим количеством данных понимает уже другие языки такое же свойство есть на там например весь [2105.42-2112.88] код на питоне практически весь да и то есть мы к примеру какую-то питоновскую чисто модель засунем [2112.88-2121.00] код связанный там си плюс плюс нам возможно выдастся код носит плюс плюс но возможно он [2121.00-2127.16] будет нерабочий объясняю вообще почему такое явление вдруг может произойти на самом деле [2127.16-2100.00]  [2104.50-NA] все данные которые вот тут были рассмотрены
[2125.00-2137.26] На самом деле, все данные, которые вот тут были рассмотрены на самом первом слайде, они и так или иначе используются в притринах, но при этом, почему у них такой большой размер? [2137.78-2152.00] Не всегда это код. Во время процесса дедупликации порой мы фильтрируем все комментарии, однако чаще всего, даже при разработке гигакода нашего российского, мы эти комментарии все оставляем. [2152.94-2125.00]  [2128.00-NA] В комментариях у нас находится...
[2150.00-2156.30] российского мы эти комментарии все оставляем комментариях у нас находится куча интересной [2156.30-2160.38] информации которая связана во первых с другими какими-то языками программирования зачастую [2160.38-2165.42] потому что вставляют примеру докстринговый сниппет там кода на си плюс плюс перепишет [2165.42-2172.60] на питон что не подобное так и в целом комментарии несут очень много технической информации которые [2172.60-2178.62] содержат как русский язык то китайский язык как такой английский какие-то такие большие [2178.62-2150.00]  [2151.38-NA] большие представленности.
[2175.00-2177.70] китайский язык, как такой английский, [2177.84-2179.56] какие-то такие большие представленности. [2180.94-2181.50] Поэтому [2181.50-2184.12] представленность языков, [2184.18-2185.66] она так или иначе есть, [2185.86-2187.68] даже, блин, вот жалко ее не привел [2187.68-2188.18] на стеки. [2189.66-2191.58] Она достаточно большая, [2191.76-2194.04] и все в целом про нее шарят, [2194.10-2195.30] но в основном, конечно, питон, [2195.76-2198.02] но несмотря на то, что представимость [2198.02-2199.98] там, к примеру, там какого-нибудь [2199.98-2202.24] Котлина, может быть, [2202.28-2203.70] там 6% от всего, [2203.90-2175.00]  [2176.30-NA] отходно от всех данных для обучения.
[2200.00-2205.24] Kotlin, может быть, там 6% от всего, от всех данных для обучения, [2205.44-2211.86] но все равно у нас ломки достаточно хорошо запоминают подобные данные [2211.86-2216.88] и могут спокойно потом генерировать данные, там, с Kotlin связанные, [2217.22-2219.80] даже несмотря на то, что там достаточно мало было примеров. [2220.20-2223.68] Единственное, что проблема будет это хорошо как-то грамотно протестировать. [2224.04-2227.84] У нас из всех бенчмарков, которые вообще в целом есть там для кода, [2227.94-2200.00]  [2202.14-NA] у нас только парочка связанных
[2225.00-2231.90] бенчмарков, которые вообще в целом есть там для кода, у нас только парочка связанных с мультилингл [2231.90-2239.64] историей. Так у нас есть только мультилингл human-to-vile, но human-to-vile как бенчмарк, он не слишком [2239.64-2246.48] сложный, поэтому нам тяжело будет сказать, насколько хорошо там наша моделька справляется с этим. [2246.48-2254.76] Вот, но если мы там разработаем какие-то определенные наши тесты, которые там нам нужны для [2254.76-2225.00]  [2225.24-NA] для проведения общей работы.
[2250.00-2252.82] Но если мы там разработаем какие-то определенные наши тесты, [2252.92-2257.98] которые нам нужны для проверки эффективности работы на том или ином языке, [2258.46-2260.00] нам, возможно, этого будет достаточно. [2261.20-2263.36] Нужно ждать появления каких-то новых бенчмарков, [2263.50-2268.58] которые нам помогут рассказать, типа, мультилингву, бигконд-бенч, [2268.58-2271.58] к примеру, о качествах подобных моделей, [2272.26-2273.98] которые будут ориентированы не только на Python, [2275.44-2276.94] и было бы вообще суперславно, [2277.16-2279.40] а так, в целом, все современные помощники, [2279.60-2250.00]  [2252.58-NA] они
[2275.00-2280.32] было бы вообще суперславно а так в целом все современные там помощники они так или иначе [2280.32-2288.50] поддерживают практически все языки программирования как и любая в целом была ламка какую не спроси все [2288.50-2294.08] в целом там на каких-то даже около мертвых языках умен говорить но понят делаем с не самым большим [2294.08-2304.94] качеством того ч как-то развернуто ответил надеюсь ответил да спасибо да супер да давайте говорим про [2304.94-2275.00]  [2304.98-NA] По-прежнему, это не только для нас, но и для всех нас.
[2300.00-2301.42] ответил. Да, спасибо. [2302.24-2303.98] Да, супер. Да, давайте [2303.98-2306.14] говорим про модальность аудио. [2307.24-2307.88] Честно, [2309.02-2310.04] это как [2310.04-2311.78] одновременно достаточно простая тема, [2311.84-2313.94] так и крольче нора, [2314.74-2316.36] ввиду того, что зачастую [2316.36-2317.74] мы от аудиомоделек [2317.74-2319.82] не хотим добиваться того, что мы [2319.82-2322.10] просто положили какое-то [2322.10-2324.28] текстовое описание, наш какой-то [2324.28-2326.20] аудиоинпут, и нам [2326.20-2328.26] на выходе получился просто какой-то текст [2328.26-2300.00]  [2301.74-NA] импорт, а зачастую мы хотим, чтобы мы могли использовать
[2325.00-2331.00] и нам на выходе получился просто какой-то текст и input зачастую мы хотим вот самую последнюю [2331.00-2338.26] историю которые реализованы на картинке это аудио input и текст prompting и на выходе мы получаем [2338.26-2344.20] зачастую нам даже текст аутпут не нужен мы хотим тоже получить аудио но про это рассказывать можно [2344.20-2350.50] очень долго там много подходов по большей части сегодня сосредоточить просто на аудио как модальности [2350.50-2325.00]  [2327.76-2329.50] То есть мы добавляем, к примеру, какое-то аудио на вход, мы добавляем текст и получаем темноту.
[2350.00-2352.02] модальности, то есть мы добавляем, к примеру, [2352.08-2354.04] какое-то аудио на вход, мы добавляем текст [2354.04-2355.28] и получаем там текст [2355.28-2356.58] на выход. [2358.14-2360.04] Добавление там вукодеров несет [2360.04-2362.04] определенные и [2362.04-2364.20] какие-то добавочные применения [2364.20-2366.00] похожих модальностей. К примеру, мы [2366.00-2367.94] можем генерировать музыку [2367.94-2370.00] достаточно эффективно, причем [2370.00-2372.02] неплохо делают это современные модели, [2374.28-2376.02] но в основном мы хотим [2376.02-2379.50] просуммаризировать какое-то видео,
[2375.00-2383.82] хотим просуммаризировать какое-то видео к примеру на ютюбе по аудио транскрипции здесь как раз нам [2383.82-2392.58] помогают там спич плюс текст это текст истории вот что там нужно нам как-то поменять но на самом [2392.58-2398.46] деле я не стал сильно растягивать историю связан с этой модельностью ровно почему потому что она [2398.46-2375.00]  [2380.86-NA] сильно не отличается от вижен истории от слова совсем мы единственное что подменяем это
[2400.00-2408.10] от вижен истории от слова совсем мы единственное что подменяем это какой-то visual энкодер на [2408.10-2417.04] аудио энкодер и в целом все готово у нас есть одна небольшая проблема она знакома тем кто занимался [2417.04-2426.10] там как раз таки аудио моделями у нас у токенов аудио токенов сильно выше значение беден гав чем [2426.10-2400.00]  [2401.42-2402.48] у текстовых токенов. [2403.92-2404.64] Это связано там со многими проблемами, которые
[2425.00-2432.20] беден гав чем у текстовых токенов это связано там со многими причинами так или иначе и для [2432.20-2438.80] того чтобы нам когда мы делаем нашу там прожектор который нам будет это все вот одно как раз это [2438.80-2446.88] фаза ванная там пространство пихать нам необходимо и токи нормализовать и в целом но нормализация [2446.88-2454.10] это там не то чтобы какой-то супер интересный процесс про это на и можно найти тысячи тысяч [2454.10-2425.00]  [2425.88-NA] обновить.
[2450.00-2456.66] суперинтересный процесс, про это можно найти тысячи и тысячи, одну реализацию и статью в [2456.66-2463.86] интернете, поэтому тут тоже говорить об этом сильно не буду. Мы достаточно эффективно умеем это делать, [2464.14-2472.12] единственное, что об этом нужно знать, что там как раз-таки в нашем, когда мы подаем все в фьюзированный [2472.12-2478.10] там embedding space, у нас могут быть разные значения там у аудиотокенов и текст-токенов, а желательно, [2478.10-2450.00]  [2451.56-NA] чтобы они были равно распределены.
[2475.00-2479.52] значения там у аудио токенов и текст токенов желательно чтобы они были равно распределены [2479.52-2487.30] потому что это все-таки должно слиться в какую-то одну интер лифт информацию когда мы должны [2487.30-2492.88] учитывать и то и другое одновременно и правильно так чтобы у нас там не было переобучение какой-то [2492.88-2502.56] из вот этих двух историй в плане бенчмаркирования люди сделали все очень просто на самом деле мы [2502.56-2475.00]  [2477.44-NA] Мы проверяем любую модель, которая так или иначе сотрудничает.
[2500.00-2505.70] очень просто на самом деле мы проверяем любую модель который так или иначе затрагивает у нас [2505.70-2516.00] аудио input как обычно текстовую модель аудио input порой тестируем отдельно просто за инструктив [2516.00-2525.78] модель на задачу автоматик спички к внешне то есть у нас есть какая-то голосовое там сообщение [2525.78-2500.00]  [2504.22-NA] Который мы подаем модель, мы промтим ее, чтобы она
[2525.00-2532.26] сообщение, которым мы подаем модель, мы промтим ее, чтобы она написала нам транскрипцию этого звука, [2532.26-2540.36] модель выдает транскрипцию звука, и мы меряем по всем тем же как раз таки методам, которые современные [2540.36-2547.44] люди там меряют, automatic speech recognition сервиса. Основной метрикой во всех этих сервисах [2547.44-2525.00]  [2532.50-NA] является там борд р рейд есть модификации там чартер р рейд есть сентенсер рейд и так далее так
[2550.00-2558.12] модификации, там, character rate, есть sentence rate, и так далее, и так далее, но в основном вер, вер мерится [2558.12-2564.86] просто как количество замен, количество вставок и количество удаления тех или иных символов на [2564.86-2570.64] общее число символов в оригинальном как раз таки сообщении, то есть у нас есть, к примеру, вот [2570.64-2578.48] оригинал, у нас слово, и дата, и транскрипция, у нас слово quick поменялось на brown, а точнее [2578.48-2550.00]  [2551.50-NA] Квик вообще убралось, осталось только выключить.
[2575.00-2581.64] quick поменялось на браун, а точнее quick вообще убралось, осталось только браун, и lazy dog там [2581.64-2590.98] добавилось. Пример какое-то слово могло там неправильно как-то транскрибироваться, да, и мы посчитаем [2590.98-2596.82] количество вот этих вставок там удалений и замен, разделим на общее число слов в оригинальном [2596.82-2603.66] предложении, получим значение вверх. В современных моделях оно очень хорошее, порядка трех процентов [2603.66-2575.00]  [2576.34-NA] Он.
[2600.00-2610.68] порядка трех процентов то есть в целом очень редкие какие-то ошибки и зачастую мы никак не [2610.68-2619.24] хотим учитывать аудио составляющего таких моделей потому что ошибка это маленькая это не картиночная [2619.24-2625.12] история где ошибки могут быть достаточно большие и там вообще нет какой-то определенной истины вот [2625.12-2600.00]  [2604.88-NA] Для аудио данных в аудиоэнкодерах в любом случае можно использовать
[2625.00-2631.10] Для аудио-данных в аудио-энкодерах в любом случае решили привести, [2631.28-2634.36] и конкретно для российского рынка, для нероссийского рынка, [2634.36-2637.76] можно найти где угодно и в большем количестве часов записи. [2638.44-2643.40] Основным височником данных является OpenCT на русском. [2643.66-2650.36] Там порядка 20 тысяч часов записи продиктованного текста в абсолютно различных доменах. [2651.34-2625.00]  [2629.62-NA] в обменах, это голос от Сбера.
[2650.00-2660.08] доменах это голос от сбера тоже очень очень много часов порядка 18 тысяч транскрибации [2660.08-2666.68] происходит обычно с каких-то радио эфиров потому что очень хороший источник данных для нас там [2666.68-2673.40] постоянно люди говорят поэтому давайте запишем большое количество там эфиров заставим людей там [2673.40-2650.00]  [2656.54-NA] все это транскрибировать и потом на этом сидели обучимся вам public спичей youtube
[2675.00-2677.04] и потом на этом все деле обучимся. [2677.58-2678.96] Там паблик спичей, [2679.30-2680.24] ютуба, [2681.32-2682.92] аудиокниг, звонков [2682.92-2685.12] и прочие какие-то истории. [2685.62-2686.98] И есть еще небольшой [2686.98-2687.88] LibriSpeech [2687.88-2691.06] на 98 часов записи, [2691.22-2693.16] но его зачастую используют как какую-то [2693.16-2695.38] тестовую выборку для проверки [2695.38-2697.28] навыков. Как раз просто посчитать веру. [2698.20-2699.24] Единственным исключением, [2699.24-2701.00] наверное, из правил, больше [2701.00-2703.02] бенчей вы не найдете, наш любимый [2703.02-2675.00]  [2676.96-NA] знакомый Биг Бенч, только не был в состоянии.
[2700.00-2708.44] больше бенча не найдете наш любимый и знакомый big bench только теперь с приставкой аудио тоже [2708.44-2713.98] тысячи там аудио каких-то вопросов мы хотим посмотреть на как раз таки какой-то спичи [2713.98-2721.08] лиза нинг связать аудио наше сообщение с сообщением на текстовом языке что-то померить но [2721.08-2727.38] больших отличий там от любого big bench натуральном языке на самом деле нет да тот же big bench только [2727.38-2700.00]  [2702.62-NA] только вместе с голосовыми сообщениями.
[2725.00-2730.70] деле нет на тот же big bench только вместе с голосовыми сообщениями поэтому он достаточно [2730.70-2736.22] сильно там резаный но при этом учитывается несколько задач как тексту текст так спичку [2736.22-2743.70] спич тексту спички спичку текст для моделей потому что там есть такая вот модификацию [2743.70-2750.40] там у этого бенчмарка так или иначе до закончили на самом деле с модальностями проуди больше [2750.40-2725.00]  [2728.34-NA] что углубляться не будем по прокат рассказали про vision тоже
[2750.00-2751.42] больше углубляться не будем. [2751.70-2753.84] Про код рассказали, про Vision тоже. [2756.84-2757.70] Да, теперь [2757.70-2760.04] кратко давайте расскажем, [2760.24-2761.34] как вообще в целом [2761.34-2764.08] занимаются тем, что собирают сервис на базе LLM. [2765.14-2766.06] Моделька у нас готовая [2766.06-2767.76] есть. Теперь нам необходимо [2767.76-2770.22] ее обернуть в какой-то [2770.22-2772.06] сервис, который действительно на нашем железе [2772.06-2773.42] достаточно бы эффективно работал. [2773.92-2775.54] Причем мы предъявляем сразу несколько [2775.54-2777.78] требований к нашему сервису. [2777.90-2779.06] Естественно, он должен быть быстрый.
[2775.00-2777.78] сразу несколько требований к нашему сервису. [2777.90-2779.08] Естественно, он должен быть быстрый. [2780.68-2782.90] Медленные сервисы нас не особо сильно интересуют. [2783.02-2784.24] Дожидаясь ответа «год», [2784.24-2788.52] любое физическое лицо, которое пользуется твоим сервисом, [2788.94-2789.68] просто уйдет. [2790.48-2794.24] У этого сервиса должна быть достаточно большая пропускная способность. [2795.08-2799.58] То есть мы хотим, чтобы наша скорость не сильно страдала [2799.58-2803.46] при огромном потоке пользователей [2803.46-2775.00]  [2776.46-NA] с своими запросами.
[2800.00-2806.24] огромном потоке пользователей с своими запросами в наш сервис. [2808.70-2810.60] Ну, естественно, сервис должен функционировать, [2810.68-2813.18] функционировать неправильно, без нарушения функциональности, [2813.32-2816.04] и он должен быть стабильный во времени, чтобы никогда не падал и так далее. [2816.04-2822.04] Но наши все основные требования как раз таки связаны со скоростью и с рутпутом. [2823.98-2825.00] Объясняю почему. [2826.46-2828.96] Зачастую сервисы вообще делятся на два типа. [2829.38-2800.00]  [2801.04-NA] что это тут признается.
[2825.00-2828.96] Зачастую сервисы вообще делятся на два типа. [2829.30-2832.06] Я тут презентацию не представил, поэтому голос там расскажу. [2834.26-2840.20] И у каждого есть какая-то своя метрика, которая является основной. [2840.96-2846.22] Так, к примеру, если мы делаем сервис по типу Нейра, который Яндексовская, [2847.80-2825.00]  [2833.78-NA] Мы, на самом деле, не хотим добиться от нее...
[2850.00-2862.12] как мы не хотим чтобы потому что она очень часто занимается там к примеру кем-то задачами связаны [2862.12-2868.54] просумеризируем не это видео в это самый популярный запрос там у нейро берутся какое-то видео там на [2868.54-2875.00] ютюбе мы хотим чтобы она просумеризировалась нам не суть важно тут tokens per second на [2875.00-2850.00]  [2854.20-NA] На самом деле, нам здесь очень будет важно, там как раз-таки пропускная способность.
[2875.00-2882.64] самом деле нам здесь очень будет важно там как раз таки пропускная способность то есть мы хотим чтобы [2882.64-2890.90] при очень большой нагрузки у нас наш сервис все равно стабильно работал выдавая тот же токен [2890.90-2898.94] сперсик он которым выдает в обычном режиме чтобы сильно не страдал когда в каких-то онлайн [2898.94-2875.00]  [2877.46-2877.66] ассистента, к примеру, [2879.10-2881.02] если вы там зайдете там сейчас в
[2900.00-2910.56] к примеру если вы там зайдете там сейчас в telegram да но она напишите там гига чату что-то нам тут [2910.56-2917.24] целом будет важно конечно так из персикон супер важно но нам будет важно и тайм ту ферст окин это [2917.24-2923.46] самый первый шаг для любой ломки потому что нужно заниматься контекст декодингом нужно просто этом [2923.46-2900.00]  [2905.90-NA] до какое-то время в очереди на запрос потому что там пропускная способность можно позволить
[2925.00-2931.16] очереди на запрос потому что там пропускная способность можно позволить да вы сильно [2931.16-2937.50] от таки не зация будет все это дело зависеть так из декодинг нам позволяет как раз таки ломки сначала [2937.50-2943.72] обработать ваш запрос сгенерировать на него ответ а затем уже как раз таки итеративно идти это будет [2943.72-2949.80] сильно быстрее поэтому зачастую у нас таким сперсик он как в метрике качества там работы [2949.80-2925.00]  [2930.20-NA] сервиса не учитывается порой первый токен а его отбрасывают потому что это как отдельный метод
[2950.00-2956.90] не учитывается порой первый токен его отбрасывают потому что это как отдельная метрика у нас хотя [2956.90-2963.02] можно не отбрасывать в целом тогда будут там чуть другие но очень схожи все равно значения [2963.02-2973.82] современной модельки как-то распределены на этом графике по как раз таки двум этим метриком самый [2973.82-2950.00]  [2956.12-NA] идеальный квадрант у нас очень маленькое время на time to first token.
[2975.00-2983.50] нас очень маленькое время на тайм ту ферз токен и очень большое количество токен спер секанс понятное [2983.50-2989.22] дело такого достигают обычно какие-то маленькие модельки либо моделька стамп с приставку flash [2989.22-2997.98] ну а какие-то очень мощные модели одних достаточно там мощный какой-то декоринг [2997.98-2975.00]  [2981.96-NA] происходит типа дирси дипсика у них очень большой обычно time to first окин но при этом можете
[3000.00-3012.06] У них очень большой обычно time-to-first токен, но при этом может сильно отличаться в зависимости от задач, которые ставятся перед моделькой по tokens-per-sequence. [3012.06-3000.00]  [3007.82-3008.58] В tokens-per-sequence очень важно в целом учитывать то, с чем мы работаем. [3017.92-NA] Так у нас может быть история связана с тем, что нам важно максимизировать TPS по питону, по математике.
[3025.00-3032.68] с тем, что нам важно максимизировать TPS по питону, по математике, по русскому языку или по английскому. [3032.68-3038.90] И мы можем очень быстро заметить, что токены на самом деле по разным доменам, они сильно разные. [3039.50-3040.98] Поэтому нужно обращать на это внимание. [3041.36-3048.10] Иногда производится замер по TPS сильно, как сказать, смещенный, [3048.44-3025.00]  [3031.00-NA] Ввиду того, что мы меряем TPS GPT-C и меряем...
[3050.00-3059.78] мы там меряем там тпс джипе течет и меряем тпс там не знаю код помощника как раз разработчика и мы [3059.78-3066.74] знаем что там фертильность и кинезации то есть в среднем размер токина какой-то он на коде сильно [3066.74-3075.92] выше чем на русском языке так мы можем наблюдать здесь что у нас там здесь видно средний там длина [3075.92-3050.00]  [3054.06-NA] цена токена в GPT-4 она там четыре с чем-то на русском языке?
[3075.00-3081.72] Средняя длина токена в GPT-4, она там 4 с чем-то, на русском языке это 2 и там 2. [3083.26-3089.26] То есть сгенерировать такой токен, сгенерировать другой, на самом деле требует разных скоростей вдруг. [3092.02-3098.10] И о чем очень хочется сильно поговорить, что вообще так или иначе повлияет на риски использования LLAM, [3098.10-3103.02] это промерч методы оптимизации, которые в сервисах используют. [3103.32-3075.00]  [3076.98-NA] Вдруг мы очень быстро, как будто бы, сжали все снаряды.
[3100.00-3107.68] которые в сервис используют вдруг мы очень быстро на самом деле начинает понимать что все наши [3107.68-3115.48] модели которые мы разработали безумно долгие и требует очень много памяти излишней памяти мы [3115.48-3121.50] это все можем сильно оптимизировать при этом никак не потеряв качестве зачастую оптимизации добавляя [3121.50-3127.68] самый легкий способ это просто добавить новых железяк понят дело может купить там со самые [3127.68-3100.00]  [3102.32-NA] современные видеокарточки и за
[3125.00-3131.36] понятное дело может купить там самые современные видеокарточки и забыть о нашей текущей проблеме [3131.36-3137.12] но на самом деле мы можем куда лучше мы иногда можем заменить какие-то архитектурные способности [3137.12-3145.34] модели там маешки в целом микшеров экспорта они быстрее работают чем обычные там dance [3145.34-3154.28] до нейросети но зачастую объединяют методы связанные с какими-то архитектурными решениями [3154.28-3125.00]  [3126.00-NA] внутримодными.
[3150.00-3155.22] объединяют методы, связанные с какими-то архитектурными решениями внутри моделей, [3155.84-3160.08] и железную историю, то есть оптимизация именно хардвера, [3160.72-3162.74] и скрестили это все дело в мерч-методы, [3164.34-3169.22] когда мы достаточно эффективно в тех вещах, которые мы уже давно знаем, [3169.80-3176.22] можем использовать управление виртуальной памятью, управление видеопамятью, [3176.96-3150.00]  [3153.78-NA] Видеопамятью, так что у нас в целом все начнет считаться
[3175.00-3181.84] управление там видеопамятью так что у нас целом все начнет считаться в несколько раз быстрее при [3181.84-3186.86] этом это никак не потеряет в качестве потому что мы сохраняем ровно ту же логику работы так [3186.86-3193.50] примеру самый эффективный способ вообще там по оптимизации любого лм сервисом и подробно сегодня [3193.50-3201.74] разберем таковы кэш continuous бачинг идея в нем супер просто она на картинке мне кажется даже [3201.74-3175.00]  [3176.98-3177.46] сильно объяснять как-то это не надо. [3178.26-NA] Мы хотим...
[3200.00-3206.66] на картинке и мне кажется даже сильно там объяснять как-то это не надо мы хотим когда у нас вот такой [3206.66-3212.48] вот бач при этом он там заканчивается достаточно рано мы хотим в оставшуюся часть бача потому что [3212.48-3217.28] она у нас просто западе на и вставить какой-то другой бач который был там сильно меньше всего [3217.28-3224.42] нашего сэмпла и мы таких бачей скорее всего найдем так вот к примеру там в с1 вот эту всю историю до [3224.42-3200.00]  [3205.04-NA] поместился батч S6, который состоял всего там из двух токенов условно.
