[Chunk start 0.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 25.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 50.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 75.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 100.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 125.00s]: [0.00-29.98] Продолжение следует...
[Chunk start 150.00s]: [0.00-3.00] Появился в этом случае, как правило, неизвестный.
[Chunk start 175.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 200.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 225.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 250.00s]: [0.00-29.44] Всем привет! [29.44-0.00]  [1.00-NA] Привет!
[Chunk start 1650.00s]: [0.00-8.76] ступенчатый какой-то анализ тех таз и кону дорогой и только адаптируется на текущий момент под какие-то [8.76-17.70] другие языки ds1000 тоже очень похожий пример связанный с уже непосредственно работой там [17.70-27.38] датсайентистов у нас тоже есть какое-то описание возможно дата-фреймов там в пандасе и задачи и мы [27.38-0.00]  [2.40-NA] мы должны на основании как раз-таки этой задачи заняться.
[Chunk start 1675.00s]: [0.00-10.52] И мы должны на основании как раз-таки этой задачи заняться генерацией кода на основании какого-то кодового контекста и привести какое-то решение. [10.84-14.32] И в дальнейшем его как-то засертить, что-то провести. [16.34-18.12] Останавливаться особо сильно на нем не буду. [18.46-25.16] В нем достаточно представимость данных по всем библиотекам, так или иначе, которые используют дата-сиентисты. [25.62-0.00]  [4.86-NA] Ну и, да, современные, собственно, модели, которые там побивают все это, естественно, GPT-чемпионы.
[Chunk start 1700.00s]: [0.00-7.30] Ну и современные модели, которые побивают все это, естественно, GPT-Core, Cloud, DeepSeq. [8.10-9.78] В целом ничего удивительного тут нет. [11.56-15.06] Также хорошим примером бенчмарка является SVE-бенч. [15.36-22.62] Он тоже зачастую очень часто используется при скорингах всех моделей, которые так или иначе связаны с кодом. [23.10-0.00]  [7.26-NA] бенч является достаточно уникальным интересным ввиду того что он решает задачу может ли какие-то
[Chunk start 1725.00s]: [0.00-8.76] интересным ввиду того что он решает задачу может ли какие-то ломки достаточно хорошо справляться [8.76-19.18] с закрытием и шли с на гитхабе так у нас есть какие-то примеры и шьюз пропоршн и с самими [19.18-28.02] там разработчиками этого бенчмарка там порядка 90 тысяч пиаров было проанализировано так или [28.02-0.00]  [1.96-NA] иначе, и что с ним были все простые дела.
[Chunk start 1750.00s]: [0.00-3.50] 90 тысяч пиаров было проанализировано так или иначе, [3.94-5.50] иши с ним были все просмотрены, [6.02-8.68] иши обычно идут с какими-то кусками кода, [9.36-13.48] и мы должны на основании как раз-таки всех данных, [13.48-16.26] которые приведены в том или ином иши, [16.68-21.10] сгенерировать либо код, который сможет помочь решить это ишью, [21.46-23.60] и потом, собственно, сгенерировать тесты, [23.70-25.60] ну, точнее, да, провести тесты под него, [26.08-0.00]  [4.40-NA] потому что в этом бенчмарке они заранее все известны.
[Chunk start 1775.00s]: [0.00-9.84] под него потому что на в этом бенчмарке они заранее все известны ну вот да ты и мы должны сгенерировать [9.84-19.40] решение это конец вот на этом бенчмарке тоже не особо большие какие-то результаты и достаточно [19.40-27.48] затюнены как будто бы только подход модели но выбиваются вперед то есть там не встретишь просто [27.48-0.00]  [2.50-NA] как там, не знаю, в DS1000 с GPT-чем-то.
[Chunk start 1800.00s]: [0.00-6.54] то есть там не встретишь просто как там не знаю в дэс тысячи джипе течет клауд нет тут встреч [6.54-15.66] конкретно какие-то вещи типа у дикта которые как-то запромтировали клад там и свои агент [15.66-23.20] опять же на клауде что-то связанное с чепики я не знаю название этого приложения так или иначе вот [23.20-27.78] то есть созданы там людьми специальный промпт какой-то какая-то инструкция которая позволяет [27.78-0.00]  [2.18-NA] хорошо с этим печем как-то справляются.
[Chunk start 1825.00s]: [0.00-1.96] промпт, какая-то инструкция, [2.16-3.94] которая позволяет хорошо [3.94-5.48] с этим бенчмарком как-то справляться. [6.04-7.84] Можно профильтровать внутри самого [7.84-9.58] бенчмарка, найти там [9.58-11.82] непосредственно просто какие-то модельки. [12.90-14.00] Но хотел бы показать [14.00-15.94] именно вот это, плюс метрики не особо сильно [15.94-17.94] там, опять же, большие, что говорит [17.94-19.72] о сложности такого бенчмарка. [20.08-21.98] Но этот бенчмарк крайне полезен, потому что [21.98-24.06] мы хотим видеть в дальнейшем от наших [24.06-25.76] кодовых помощников [25.76-26.60] именно [26.60-29.86] такой пример при использовании.
[Chunk start 1850.00s]: [0.00-4.86] помощников именно такой пример использования. [7.50-10.02] Да, на бичмарках по коду все. [12.12-19.10] Мы хотим в целом в будущем от подобных помощников добиться как раз-таки генерацию сложного кода. [19.42-22.12] Мультилайн это в целом уже достаточно сложная история. [22.54-26.70] Это не просто закончить предложение, это еще и как-то продолжить его, [26.70-0.00]  [3.30-NA] написать несколько строчек кода, но мы хотим, чтобы такие помошники...
[Chunk start 1875.00s]: [0.00-3.26] как-то продолжить его, написать несколько строчек кода, [3.42-5.82] но мы хотим, чтобы такие помощники думали куда дальше, [7.22-12.18] возможно, написали как и целый скрипт, который поможет решить проблему внутри какого-то кода, [12.52-15.28] либо как-то оптимизирует целую библиотеку, [16.30-20.26] либо вообще сгенерирует целое репо под какую-то задачу, [21.62-24.46] которую можно будет из коробки запускать. [24.46-29.64] Пока таких решений, к сожалению, на рынке либо крайне мало, и они неэффективны, [29.82-0.00]  [0.36-NA] акта деятельности.
[Chunk start 1900.00s]: [0.00-6.14] таких решений, к сожалению, на рынке либо крайне малы, и они неэффективны, либо вообще в целом нет. [7.30-10.94] Мы хотим изобрести, естественно, специальную архитектуру, адаптированную под код, [11.22-15.68] ровно такую же, как мы это видели, к примеру, в модальности по видео, [15.84-21.28] когда мы делали какой-то проектор на токены, естественно, нового языка, [21.56-26.36] тот же проектор, к примеру, для кода, в целом, возможно, был бы хорошей идеей, [26.36-28.66] я таких исследований еще не видел, не находил. [29.68-0.00]  [1.00-2.00] А по поводу того, что мы не можем с этим разоружиться, мы должны решать это. [2.00-3.00] Мы должны решать это. [3.00-4.00] Мы должны решать это. [4.00-5.00] Мы должны решать это. [5.00-6.00] Мы должны решать это. [6.00-7.00] Мы должны решать это. [7.00-8.00] Мы должны решать это. [8.00-9.00] Мы должны решать это. [9.00-10.00] Мы должны решать это. [10.00-11.00] Мы должны решать это. [11.00-12.00] Мы должны решать это. [12.00-13.00] Мы должны решать это. [13.00-14.00] Мы должны решать это. [14.00-15.00] Мы должны решать это. [15.00-16.00] Мы должны решать это. [16.00-17.00] Мы должны решать это. [17.00-18.00] Мы должны решать это. [18.00-19.00] Мы должны решать это. [19.00-20.00] Мы должны решать это. [20.00-21.00] Мы должны решать это. [21.00-22.00] Мы должны решать это. [22.00-23.00] Мы должны решать это. [23.00-24.00] Мы должны решать это. [24.00-25.00] Мы должны решать это. [25.00-26.00] Мы должны решать это. [26.00-27.00] Мы должны решать это. [27.00-28.00] Мы должны решать это. [28.00-29.00] Мы должны решать это.
[Chunk start 1925.00s]: [0.00-9.00] был хорошей идеей, я таких исследований еще не видел и не находил. Возможно, мы хотим более умный [9.00-17.74] способ работы с данными, иметь связанных с кодом, как-то лучше использовать какой-то фильтринг, [17.74-27.30] понимать, какой код у нас может нести действительно большую ценность для обучения модели. Мы хотим [27.30-0.00]  [2.70-NA] будем изобрести крутые бенчмарки, связанные с
[Chunk start 1950.00s]: [0.00-1.90] модели. [1.90-5.24] Мы хотим изобрести крутые бенчмарки, связанные с [5.24-9.16] код-геном, потому что все текущие бенчмарки, они так [9.16-13.64] или иначе связаны на достаточно простые проблемы для текущих [13.64-16.16] помощников. [16.16-19.74] Помимо колд-бенча, там, SWE-бенча, мало что суперсложного [19.74-21.88] можно найти. [21.88-25.00] Мы хотим поддержку иметь не только там Python как языка, [25.00-29.42] мы хотим вообще в целом все языки, в том числе и низкоуровневые, [29.42-0.00]  [0.58-NA] представляют.
[Chunk start 1975.00s]: [0.00-3.46] хотим вообще в целом все языки, в том числе низкоуровневые, [3.86-9.26] которые представляются в текущем там ландшафте, [9.72-13.96] очень редко, очень мало, но так или иначе, [14.08-17.34] как будто бы лампка умеет ходить в грамматике, [17.34-22.50] поэтому why not, почему бы не обучить там какие-то сложные, тяжелые языки, [22.62-25.22] почему бы не синтезировать там данные, [25.64-0.00]  [4.66-NA] которые могут быть для подобного иската.
[Chunk start 2000.00s]: [0.00-9.36] которые могут быть для подобного иска релевантны. Мы хотим, естественно, иметь поддержку continuous [9.36-16.66] learning. Тут это супер сильно важно. Напоминаю, что такое это, когда мы продолжаем обучаться, [16.66-23.82] даже после тренинга, какой-то нашей очередной модельке. Мы хотим понимать, какие кодовые [23.82-28.74] фреймворки сейчас актуальны, что нам нужно сейчас обязательно, чтобы наша модель умела, [28.74-0.00]  [1.26-NA] было, чтобы она была в порядке.
[Chunk start 2025.00s]: [0.00-6.30] что нам нужно сейчас обязательно чтобы наша модель умела чтобы она подстраивалась под текущие какие-то [6.30-16.18] обстоятельства к примеру там не знаю выходит новая там статья про какую-то там оптимизацию и мы хотим [16.18-21.24] естественно чтобы есть она революционная была то наш там универсальный помощник поддерживал подобный [21.24-29.94] алгоритм которые были бы реализованы в этом новом алгоритме ну да естественно хотим решить проблему [29.94-0.00]  [1.00-2.00] Благодарю вас за внимание. До новых встреч. [2.00-3.00] До новых встреч. [3.00-4.00] До новых встреч. [4.00-5.00] До новых встреч. [5.00-6.00] До новых встреч. [6.00-7.00] До новых встреч. [7.00-8.00] До новых встреч. [8.00-9.00] До новых встреч. [9.00-10.00] До новых встреч. [10.00-11.00] До новых встреч. [11.00-12.00] До новых встреч. [12.00-13.00] До новых встреч. [13.00-14.00] До новых встреч. [14.00-15.00] До новых встреч. [15.00-16.00] До новых встреч. [16.00-17.00] До новых встреч. [17.00-18.00] До новых встреч. [18.00-19.00] До новых встреч. [19.00-20.00] До новых встреч. [20.00-21.00] До новых встреч. [21.00-22.00] До новых встреч. [22.00-23.00] До новых встреч. [23.00-24.00] До новых встреч. [24.00-25.00] До новых встреч. [25.00-26.00] До новых встреч. [26.00-27.00] До новых встреч. [27.00-28.00] До новых встреч. [28.00-29.00] До новых встреч.
[Chunk start 2050.00s]: [0.00-5.50] Ну да, естественно, хотим решить проблемы, связанные [5.50-6.50] с безопасностью. [6.50-11.66] На каком-то уровне такие ломки должны понимать, [11.66-14.52] где у нас находится там опасный код, где у нас находится [14.52-19.24] неопасный код, причем как-то предупреждать об этом пользователя, [19.24-21.86] предупреждать пользователь о возможных каких-то авторских [21.86-27.24] правах, либо об утечке данных, и как-то нивелировать это. [27.24-0.00]  [2.96-NA] Но это тоже будущий вызов, пока, естественно, не будет.
[Chunk start 2075.00s]: [0.00-5.92] и как-то нивелировать это, это тоже будущий вызов, пока естественное решение особо нет. [7.44-9.34] Теперь поговорим про аудио. [10.02-12.36] Олег, а можно вопрос про кодовую модальность? [13.06-17.54] У моделей будет такое же свойство, например, если, ну вот, когда обучают LLM, [17.74-21.38] большая часть данных на английском языке, добавляют немного языков, [21.38-26.60] например, русский, китайский, и модель начинает с меньшим количеством данных, [26.70-28.00] понимает уже другие языки. [28.18-0.00]  [2.00-NA] И такое же свойство есть на...
[Chunk start 2100.00s]: [0.00-5.44] с меньшим количеством данных понимает уже другие языки такое же свойство есть на там например весь [5.44-12.00] код на питоне практически весь да и сарказм то есть есть мы к примеру какую-то питоновскую чисто модель [12.00-20.34] засунем код связанный там все плюс плюс нам возможно выдастся код носит плюс плюс но возможно [20.34-27.50] он будет нерабочий объясняю вообще почему такое явление вдруг может произойти на самом деле все [27.50-0.00]  [2.22-NA] Все данные, которые вот тут были рассмотрены,
[Chunk start 2125.00s]: [0.00-7.50] на самом деле все данные которые вот тут были рассмотрены на самом первом слайде они так или [7.50-15.70] иначе используются в притринах но при этом почему у них такой большой размер не всегда это код во [15.70-22.36] время там процесса дедубликации порой мы фильтры все комментарии однако чаще всего даже при [22.36-29.48] разработке там гига кода нашего российского мы эти комментарии все оставляем комментариях у нас [29.48-0.00]  [1.00-NA] находится под основной целью.
[Chunk start 2150.00s]: [0.00-6.30] российского мы эти комментарии все оставляем комментариях у нас находится куча интересной [6.30-10.38] информации которая связана во первых с другими какими-то языками программирования зачастую [10.38-15.42] потому что вставляют примеру докстринговый сниппет там кода на си плюс плюс перепишет [15.42-22.60] на питон что не подобное так и в целом комментарии несут очень много технической информации которые [22.60-28.62] содержат как русский язык то китайский язык как такой английский какие-то такие большие [28.62-0.00]  [1.38-NA] вашей представленности.
[Chunk start 2175.00s]: [0.00-2.70] китайский язык, как такой английский, [2.84-4.56] какие-то такие большие представленности. [5.94-10.66] Поэтому представленность языков, она так или иначе есть, [10.86-13.20] даже, блин, вот жалко ее не привел на стеки, [14.62-19.04] она достаточно большая, и все в целом о лампе про нее шарят, [19.04-22.14] но в основном, конечно, питон, но несмотря на то, [22.24-26.00] что представимость, к примеру, какого-нибудь Котлина, [26.44-0.00]  [4.00-NA] Может быть, там 6% от всего, от всех данных для обучения.
[Chunk start 2200.00s]: [0.00-5.22] Kotlin, может быть, там 6% от всего, от всех данных для обучения, [5.42-11.86] но все равно у нас ломки достаточно хорошо запоминают подобные данные [11.86-16.88] и могут спокойно потом генерировать данные, там, с Kotlin связанные, [17.20-19.80] даже несмотря на то, что там достаточно мало было примеров. [20.18-23.68] Единственное, что проблема будет это хорошо как-то грамотно протестировать. [23.68-27.84] У нас из всех бенчмарков, которые вообще в целом есть там для кода, [27.94-0.00]  [2.14-NA] у нас только парочка связанных
[Chunk start 2225.00s]: [0.00-6.90] бенчмарков, которые вообще в целом есть там для кода, у нас только парочка связанных с мультилингл [6.90-14.66] историей. Так у нас есть только мультилингл human-to-vile, но human-to-vile как бенчмарк, он не слишком [14.66-21.48] сложный, поэтому нам тяжело будет сказать, насколько хорошо там наша моделька справляется с этим. [21.48-28.74] Вот, но если мы там разработаем какие-то определенные наши тесты, которые там нам [28.74-0.00]  [1.26-NA] нужны для проверки.
[Chunk start 2250.00s]: [0.00-7.98] Но если мы там разработаем какие-то определенные наши тесты, которые нам нужны для проверки эффективности работы на том или ином языке, [8.46-10.00] нам, возможно, этого будет достаточно. [11.20-15.20] Нужно ждать появления каких-то новых бенчмарков, которые нам помогут рассказать, [15.20-21.58] типа, мультилингву, бигконд-бенч, к примеру, о качествах подобных моделей, [22.20-26.94] которые будут ориентированы не только на Python, и было бы вообще суперславно. [27.16-0.00]  [3.08-NA] А так, в целом, все современные там помощники, они...
[Chunk start 2275.00s]: [0.00-4.42] И было бы вообще суперславно, а так в целом все современные помощники, [4.78-8.50] они так или иначе поддерживают практически все языки программирования, [9.08-11.86] как и любая в целом LLM. [12.18-16.88] Какую ни спроси, все в целом на каких-то даже около мертвых языках умеют говорить. [17.38-19.52] Но, понятное дело, с не самым большим качеством. [22.20-23.80] Да, вот как-то развернуто ответил. [24.38-25.38] Надеюсь, ответил. [25.76-26.42] Да, спасибо. [27.24-27.88] Да, супер. [27.88-0.00]  [2.12-NA] Да, давайте поговорим про то, что мы сейчас говорим.
[Chunk start 2300.00s]: [0.00-10.56] ответил да спасибо да супер да давайте говорим про модальность аудио честно это как одновременно [10.56-18.56] достаточно простая тема так и крольче нора ввиду того что зачастую мы от аудио моделек не хотим [18.56-25.36] добиваться того что мы просто положили какое-то текстовое описание наш какой-то аудио input и [25.36-0.00]  [3.38-3.80] И нам на выходе получился просто какой-то текст-инпут. [4.80-NA] Зачастую мы хотим...
[Chunk start 2325.00s]: [0.00-6.00] и нам на выходе получился просто какой-то текст импут зачастую мы хотим вот самую последнюю [6.00-13.26] историю которые реализованы на картинке это аудио input и текст prompting и на выходе мы получаем [13.26-19.20] зачастую нам даже текст аут тут не нужен мы хотим тоже получить аудио но про это рассказывать можно [19.20-25.50] очень долго там много подходов по большей части сегодня среды . просто на аудио как модальности [25.50-0.00]  [2.76-4.50] То есть мы добавляем, к примеру, какое-то аудио на вход, мы добавляем текст и получаем тематический эффект.
[Chunk start 2350.00s]: [0.00-4.98] модальности то есть мы добавляем примеру какой-то аудио на вход мы добавляем текст и получаем там [4.98-14.16] текста на выход добавление там в кодиров несет определенные и какие-то добавочные применения [14.16-20.46] похожих модальности к примеру мы можем генерировать музыку достаточно эффективно причем неплохо [20.46-0.00]  [8.98-NA] делают это современные модели но в основном мы хотим про суммаризировать какое-то видео
[Chunk start 2375.00s]: [0.00-8.34] мы хотим просуммаризировать какое-то видео к примеру на ютюбе по аудио транскрипции здесь [8.34-17.14] как раз нам помогают там спич плюс текст это текст истории вот что там нужно нам как-то поменять но [17.14-22.16] на самом деле я не стал сильно растягивать историю связан с этой модельностью ровно почему потому [22.16-29.32] что она сильно не отличается от вижен истории от слова совсем мы единственное что подменяем это [29.32-0.00]  [0.68-NA] то.
[Chunk start 2400.00s]: [0.00-8.10] от вижен истории от слова совсем мы единственное что подменяем это какой-то visual энкодер на [8.10-17.04] аудио энкодер и в целом все готово у нас есть одна небольшая проблема она знакома тем кто занимался [17.04-26.10] там как раз таки аудио моделями у нас у токенов аудио токенов сильно выше значение беден гав чем [26.10-0.00]  [3.90-4.90] чем у текстовых токенов, это связано там со многими проблемами.
[Chunk start 2425.00s]: [0.00-7.20] беден гав чем у текстовых токенов это связано там со многими причинами так или иначе и для [7.20-13.80] того чтобы нам когда мы делаем нашу там прожектор который нам будет это все вот одно как раз это [13.80-21.88] фаза ванная там пространство пихать нам необходимо и токи нормализовать и в целом но нормализация [21.88-29.10] это там не то чтобы какой-то супер интересный процесс про это на и можно найти тысячи тысяч [29.10-0.00]  [0.88-NA] одной из основных проблем.
[Chunk start 2450.00s]: [0.00-6.66] суперинтересный процесс, про это можно найти тысячи и тысячи, одну реализацию и статью в [6.66-13.86] интернете, поэтому тут тоже говорить об этом сильно не будут. Мы достаточно эффективно умеем это делать, [14.14-22.12] единственное, что об этом нужно знать, что там как раз-таки в нашем, когда мы подаем все в фьюзированный [22.12-28.10] там embedding space, у нас могут быть разные значения там у аудиотокенов и текст-токенов, а желательно, [28.10-0.00]  [1.56-NA] чтобы они были равно распределены.
[Chunk start 2475.00s]: [0.00-4.52] значения там у аудио токенов и текст токенов желательно чтобы они были равно распределены [4.52-12.30] потому что это все-таки должно слиться в какую-то одну интер лифт информацию когда мы должны [12.30-17.88] учитывать и то и другое одновременно и правильно так чтобы у нас там не было переобучение какой-то [17.88-27.56] из вот этих двух историй в плане бенчмаркирования люди сделали все очень просто на самом деле мы [27.56-0.00]  [2.44-NA] Мы проверяем любую модель, которая так или иначе сотрудничает.
[Chunk start 2500.00s]: [0.00-5.70] очень просто на самом деле мы проверяем любую модель который так или иначе затрагивает у нас [5.70-16.00] аудио input как обычно текстовую модель аудио input порой тестируем отдельно просто за инструктив [16.00-25.78] модель на задачу автоматик спички к внешне то есть у нас есть какая-то голосовое там сообщение [25.78-0.00]  [4.22-NA] Который мы подаем модель, мы промкнем ее, чтобы она
[Chunk start 2525.00s]: [0.00-7.26] сообщение, которым мы подаем модель, мы промтим ее, чтобы она написала нам транскрипцию этого звука, [7.26-15.36] модель выдает транскрипцию звука, и мы меряем по всем тем же как раз таки методам, которые современные [15.36-22.44] люди там меряют, automatic speech recognition сервиса. Основной метрикой во всех этих сервисах [22.44-0.00]  [7.50-NA] является там борд р рейд есть модификации там чартер р рейд есть сентенсер рейд и так далее так
[Chunk start 2550.00s]: [0.00-8.12] модификации, там, character rate, есть sentence rate и так далее, и так далее, но в основном вер, вер мерится [8.12-14.86] просто как количество замен, количество вставок и количество удаления тех или иных символов на [14.86-20.64] общее число символов в оригинальном как раз таки сообщении, то есть у нас есть, к примеру, вот [20.64-28.48] оригинал, у нас слово, и дата, и транскрипция, у нас слово quick поменялось на brown, а точнее [28.48-0.00]  [1.50-NA] Квик вообще убралось, осталось только выключить.
[Chunk start 2575.00s]: [0.00-6.64] quick поменялось на браун, а точнее quick вообще убралось, осталось только браун, и lazy dog там [6.64-15.98] добавилось. Пример какое-то слово могло там неправильно как-то транскрибироваться, да, и мы посчитаем [15.98-21.82] количество вот этих вставок там удалений и замен, разделим на общее число слов в оригинальном [21.82-28.66] предложении, получим значение вверх. У современных моделей оно очень хорошее, порядка трех процентов [28.66-0.00]  [1.34-NA] Он.
[Chunk start 2600.00s]: [0.00-10.60] хорошая порядка трех процентов то есть в целом очень редкие какие-то ошибки и зачастую мы никак [10.60-18.54] не хотим учитывать аудио составляющего таких моделей потому что ошибка там маленькая это [18.54-23.52] не картиночная история где ошибки могут быть достаточно большие и там вообще нет какой-то [23.52-0.00]  [0.92-2.92] определенной истины. [6.48-NA] Для аудиоданных в аудиоинкодерах в любом случае,
[Chunk start 2625.00s]: [0.00-6.10] Для аудио данных в аудиоэнкодерах в любом случае решил привести, [6.28-9.36] и конкретно для российского рынка, для нероссийского рынка, [9.36-12.76] можно найти где угодно и в большем количестве часов записи. [13.44-18.40] Основным височником данных является OpenCT на русском. [18.66-25.36] Там порядка 20 тысяч часов записи продиктованного текста в абсолютно различных доменах. [26.34-0.00]  [3.18-NA] переменах, это голос от Сбера.
[Chunk start 2650.00s]: [0.00-10.08] доменах это голос от сбера тоже очень очень много часов порядка 18 тысяч транскрибации [10.08-16.68] происходит обычно с каких-то радио эфиров потому что очень хороший источник данных для нас там [16.68-23.40] постоянно люди говорят поэтому давайте запишем большое количество там эфиров заставим людей там [23.40-0.00]  [6.54-NA] все это транскрибировать и потом на этом сидели обучимся вам public спичей youtube
[Chunk start 2675.00s]: [0.00-2.04] и потом на этом все деле обучимся. [2.58-3.96] Там паблик спичей, [4.30-5.24] ютуба, [6.32-7.92] аудиокниг, звонков [7.92-10.10] и прочие какие-то истории. [10.60-12.00] И есть еще небольшой [12.00-12.88] LibriSpeech [12.88-16.06] на 98 часов записи, [16.06-18.16] но его зачастую используют как какую-то [18.16-20.38] тестовую выборку для проверки [20.38-22.30] навыков. Как раз просто посчитать веру. [23.20-24.24] Единственным исключением, [24.34-26.00] наверное, из правил, больше [26.00-28.00] бенчей вы не найдете, наш любимый [28.00-0.00]  [1.98-NA] знакомый Биг Бенч, только не был в состоянии.
[Chunk start 2700.00s]: [0.00-8.44] больше бенча не найдете наш любимый и знакомый big bench только теперь с приставкой аудио тоже [8.44-13.98] тысячи там аудио каких-то вопросов мы хотим посмотреть на как раз таки какой-то спичи [13.98-21.08] лиза нинг связать аудио наше сообщение с сообщением на текстовом языке что-то померить но [21.08-27.38] больших отличий там от любого big bench натуральном языке на самом деле нет да тот же big bench только [27.38-0.00]  [2.62-NA] только вместе с голосовыми сообщениями.
[Chunk start 2725.00s]: [0.00-5.70] деле нет на тот же big bench только вместе с голосовыми сообщениями поэтому он достаточно [5.70-11.22] сильно там резаный но при этом учитывается несколько задач как тексту текст так спичку [11.22-18.90] спич тексту спички и спичку текст для моделей потому что там есть такая вот модификацию там [18.90-25.40] у этого бенчмарка так или иначе до закончили на самом деле с модальностями проуди больше [25.40-0.00]  [2.86-3.46] что углубляться не будем, про код рассказали про Vision тоже.
[Chunk start 2750.00s]: [0.00-9.96] больше углубляться не будем по прокат рассказали про vision тоже да теперь кратко давайте расскажем [9.96-16.30] как вообще в целом занимаются тем что собирают сервис на базе л.м. моделька у нас готово и есть [16.30-22.50] теперь нам необходимо ее обернуть в какой-то сервис который действительно нашем железе достаточно [22.50-28.18] эффективно работал причем мы предъявляем сразу несколько там требований к нашему сервису естественно [28.18-0.00]  [0.88-NA] он должен быть быстрый.
[Chunk start 2775.00s]: [0.00-2.78] сразу несколько там требований к нашему сервису. [2.90-4.08] Естественно, он должен быть быстрый. [5.68-7.90] Медленные сервисы нас не особо сильно интересуют. [8.02-9.06] Дожидаясь там ответа год, [9.30-13.52] любое физическое лицо, которое пользуется твоим сервисом, [13.94-14.68] просто уйдет. [15.48-19.22] У этого сервиса должна быть достаточно большая пропускная способность. [20.08-24.58] То есть мы хотим, чтобы наша скорость не сильно страдала [24.58-28.46] при огромном потоке пользователей [28.46-0.00]  [1.46-NA] с своими запросами.
[Chunk start 2800.00s]: [0.00-6.22] огромном потоке пользователей с своими запросами в наш сервис. [6.22-10.62] Естественно, фиар-сервис должен функционировать, [10.62-13.02] функционировать неправильно, без нарушения функциональности, [13.02-16.08] и он должен быть стабильный во времени, чтобы никогда не падал и так далее. [16.08-22.42] Но наши все основные требования как раз таки связаны со скоростью и с рутбутом. [23.34-28.90] Объясняю почему. Зачастую сервисы вообще делятся на два типа. [28.90-0.00]  [1.00-2.00] И это тут признается в том, что мы должны поддержать и поддержать, и поддержать, и поддержать, и поддержать, [2.00-3.00] и поддержать, и поддержать, и поддержать, и поддержать, [3.00-4.00] и поддержать, и поддержать, и поддержать, и поддержать, [4.00-5.00] и поддержать, и поддержать, и поддержать, и поддержать, [5.00-6.00] и поддержать, и поддержать, и поддержать, и поддержать, [6.00-7.00] и поддержать, и поддержать, и поддержать, и поддержать, [7.00-8.00] и поддержать, и поддержать, и поддержать, и поддержать, и поддержать, [8.00-9.00] и поддержать, и поддержать, и поддержать, и поддержать, и поддержать, и поддержать, [9.00-10.00] и поддержать, и поддержать, и поддержать, и поддержать, и поддержать, и поддержать, [10.00-11.00] и поддержать, и поддержать, и поддержать, и поддержать, и поддержать, и поддержать, [11.00-12.00] и поддержать, и поддержать, и поддержать, и поддержать, и поддержать, и поддержать, и поддержать, и
[Chunk start 2825.00s]: [0.00-3.96] Зачастую сервисы вообще делятся на два типа. [4.30-7.06] Я тут презентацию не представил, поэтому голос там расскажу. [9.26-15.20] И у каждого есть какая-то своя метрика, которая является основной. [15.96-21.22] Так, к примеру, если мы делаем сервис по типу Нейра, который Яндексовская, [22.80-0.00]  [8.80-NA] Мы на самом деле не хотим добиться от нее...
[Chunk start 2850.00s]: [0.00-12.12] как мы не хотим чтобы потому что она очень часто занимается там к примеру кем-то задачами связаны [12.12-18.54] просумеризируем не это видео в это самый популярный запрос там у нейра берутся какое-то видео там на [18.54-25.00] ютюбе мы хотим чтобы она просумеризировалась нам не суть важно тут tokens per second на [25.00-0.00]  [4.20-NA] На самом деле, нам здесь очень будет важно, там как раз таки пропускная способность.
[Chunk start 2875.00s]: [0.00-7.64] самом деле нам здесь очень будет важно там как раз таки пропускная способность то есть мы хотим чтобы [7.64-15.94] при очень большой нагрузки у нас наш сервис все равно стабильно работал выдавая тот же токен [15.94-23.94] сперсик онско которым выдает в обычном режиме чтобы сильно не страдал когда в каких-то онлайн [23.94-0.00]  [5.78-NA] ассистента к примеру если вы там зайдете там сейчас
[Chunk start 2900.00s]: [0.00-10.56] к примеру если вы там зайдете там сейчас в telegram да но она напишите там гига чату что-то нам тут [10.56-17.24] целом будет важно конечно токен сперсек он супер важно но нам будет важно и тайм ту ферст окин это [17.24-23.46] самый первый шаг для любой ломки потому что нужно заниматься контекст декодингом нужно просто этом [23.46-0.00]  [5.90-NA] до какое-то время в очереди на запрос потому что там пропускная способность можно позволить
[Chunk start 2925.00s]: [0.00-6.16] очереди на запрос потому что там пропускная способность можно позволить да вы сильно [6.16-12.50] от таки не зация будет все это дело зависеть так из декодинг нам позволяет как раз таки ломки сначала [12.50-18.72] обработать ваш запрос сгенерировать на него ответ а затем уже как раз таки итеративно идти это будет [18.72-25.86] сильно быстрее поэтому зачастую у нас таким сперси конс как в метрике качества там работы сервиса не [25.86-0.00]  [4.14-NA] учитывается порой первый токен, его отбрасывают, потому что это как отдельный метод.
