[550.00-569.00] Всё, что я могу сказать, я могу сказать только на этом. [569.00-550.00]  [557.58-559.64] Всем привет. Прошу прощения за задержку. Давайте наступать. Скажите, пожалуйста, меня слышно, видно? [560.62-NA] Да, слышно, видно.
[2225.00-2234.32] Начинайте играть, вот у вас одна траектория, вы добегаете до конца, посчитали эмульсивную награду до конца эпизода. [2235.42-2236.84] Это как бы один ваш темп. [2237.32-2240.94] Здесь у нас, обратите внимание, у нас есть две размерности. [2241.06-2250.62] Первая размерность, это как бы размерность, по которой мы усредняем, а вторая размерность, это время внутри вашей траектории. [2250.74-2225.00]  [2227.54-2229.38] Соответственно, чтобы получить вам одно наблюдение, вам нужно доиграть до конца.
[2250.00-2256.66] траектории соответственно чтобы получить вам одно наблюдение вам нужно доиграть до конца вашу игру [2256.66-2265.72] что дальше дальше ну например политика вы саплируйте из политика политика не случайно вы или или среда [2265.72-2279.70] стокастическая вы пришли сюда у вас здесь получается даже gta 1 вот это gta 2 ну и и по двум же [2279.70-2250.00]  [2250.28-NA] же сам.
[2275.00-2288.38] то у 2 ну и и по двум же сэмплом оценивать вот забудет g-tow 3 вот у вас 33 числа вы как раз [2288.38-2297.24] обновляйте ваше значение к функции причем но обратите внимание что на самом деле если вдруг [2297.24-2275.00]  [2280.46-2281.46] рук ваша политика. Иногда вам хочется...
[2300.00-2309.92] Иногда вам хочется это делать в онлайне, то есть у вас есть, например, пока две траектории, [2309.92-2317.56] третьих пока нет. Соответственно, вы можете посчитать текущую вашу аппроксимацию, потом, [2317.56-2322.02] когда третья траектория придет, с помощью такой нехитрой формулы, которая на самом деле просто [2322.02-2300.00]  [2306.84-NA] эквивалентно это как бы ваши утре назовем так а вот это ваша
[2325.00-2334.12] А вот это ваша q2, то есть предыдущая аппроксимация. [2334.12-2342.72] Вы ее перевзвешиваете, только не только это, а вот сейчас. [2342.72-2344.48] На самом деле предыдущая аппроксимация будет вот [2344.48-2347.24] это делить на n-1. [2347.24-2325.00]  [2325.78-2328.08] Н минус один. [2328.42-2328.56] Вот. [2329.16-2329.34] Ну, неважно. [2332.76-NA] Ладно, это на самом деле уже излишне означает, что
[2350.00-2354.74] Но не важно, ладно, это на самом деле уже излишнее [2354.74-2355.74] значение. [2355.74-2357.24] Важно то, что вы на самом деле насчитывать можете [2357.24-2360.20] аппроксимацию в онлайне, ну не совсем прям в онлайне, [2360.20-2364.04] но как только у вас есть устоявшееся количество траекторий, вы [2364.04-2367.24] уже можете посчитать вашу аппроксимацию, а потом, когда [2367.24-2370.76] новая траектория придет, посчитать новую аппроксимацию. [2370.76-2379.16] А в чем проблема, как вы думаете, в чем проблема такого алгоритма? [2379.16-2350.00]  [2351.00-2352.00] Ну, много ходить не могу. Я не знаю, что это за шутка. [2352.00-2353.00] Я не знаю, что это за шутка. [2353.00-2354.00] Я не знаю, что это за шутка. [2354.00-2355.00] Я не знаю, что это за шутка. [2355.00-2356.00] Я не знаю, что это за шутка. [2356.00-2357.00] Я не знаю, что это за шутка. [2357.00-2358.00] Я не знаю, что это за шутка. [2358.00-2359.00] Я не знаю, что это за шутка. [2359.00-2360.00] Я не знаю, что это за шутка. [2360.00-2361.00] Я не знаю, что это за шутка. [2361.00-2362.00] Я не знаю, что это за шутка. [2362.00-2363.00] Я не знаю, что это за шутка. [2363.00-2364.00] Я не знаю, что это за шутка. [2364.00-2365.00] Я не знаю, что это за шутка. [2365.00-2366.00] Я не знаю, что это за шутка. [2366.00-2367.00] Я не знаю, что это за шутка. [2367.00-2368.00] Я не знаю, что это за шутка. [2368.00-2369.00] Я не знаю, что это за шутка.
[2375.00-2382.60] Ну, много ходить надо, много сэмплов. [2382.60-2394.24] Да, да, это правда, но вот обратите внимание, что вам, во-первых, нужно какое-то количество траекторий набрать, но сами траектории. [2394.24-2375.00]  [2385.76-NA] Вот какие особенности трек твой?
[2400.00-2408.68] Обратите внимание, где траектория заканчивается. [2408.68-2413.34] Что они вообще конечны. [2413.34-2416.68] Да, да, абсолютно правильно. [2416.68-2420.32] То есть у вас есть предположение, что ваше взаимодействие [2420.32-2423.56] когда-то закончится, и в целом оно может закончиться [2423.56-2426.54] через десять шагов, через десять минут, а может закончиться [2426.54-2429.54] через десять лет. [2429.54-2400.00]  [2401.00-2402.00] После этого, в результате, в результате, в результате, в результате, в результате, в результате, в результате, [2402.00-2403.00] в результате, в результате, в результате, в результате, [2403.00-2404.00] в результате, в результате, в результате, в результате, [2404.00-2405.00] в результате, в результате, в результате, в результате, [2405.00-2406.00] в результате, в результате, в результате, в результате, [2406.00-2407.00] в результате, в результате, в результате, в результате, [2407.00-2408.00] в результате, в результате, в результате, в результате, [2408.00-2409.00] в результате, в результате, в результате, в результате, [2409.00-2410.00] в результате, в результате, в результате, в результате, [2410.00-2411.00] в результате, в результате, в результате, в результате, [2411.00-2412.00] в результате, в результате, в результате, в результате, [2412.00-2413.00] в результате, в результате, в результате, в результате,
[2425.00-2429.00] через десять минут, а может закончиться через десять лет. [2429.00-2431.12] Разница большая. [2431.12-2438.24] Поэтому ждать может быть довольно долго, во-первых. [2438.24-2441.88] Во-вторых, среда может быть не эпизодической. [2441.88-2443.40] Она может вообще никогда не заканчиваться, тогда [2443.40-2445.62] непонятно, а в какой момент останавливаться. [2445.62-2425.00]  [2434.38-NA] А вот это такое основное.
[2450.00-2458.36] Но это такой основной недостаток. [2458.46-2459.86] Есть еще второй недостаток. [2460.34-2461.92] На самом деле, что вы делаете? [2462.04-2467.16] Вы оцениваете Q, это некоторое наджидание, [2467.76-2471.50] вы его оцениваете с помощью эмпирического среднего, [2472.16-2475.16] но на самом деле, если вы посмотрите внутрь этого наджидания, [2475.16-2477.66] то там как бы тоже есть наджидание. [2478.78-2450.00]  [2452.34-NA] А что вы думаете о том, что мы должны делать?
[2475.00-2477.68] то там как бы тоже есть над ожиданием. [2478.78-2481.50] И что вы с этими над ожиданиями делаете? [2481.58-2484.44] Вы их тоже заменяете на сэмплы. [2485.42-2493.88] Причем сэмплы типа R1, потом у вас еще одна награда пришла, [2494.24-2499.60] вы заменяете на сэмпл R2, получается, гамма R2 и так далее. [2499.60-2475.00]  [2480.44-NA] То есть вы внутренним от ожидания заменяете еще на их несмещенную.
[2500.00-2505.56] То есть вы внутренним от ожидания заменяете еще на их несмещенные оценки, [2505.62-2509.80] но по очень маленькому количеству сэмплов, буквально по одному. [2510.30-2512.62] Поэтому у этого алгоритма огромная дисперсия. [2513.48-2514.50] Огромная дисперсия. [2515.36-2518.90] И когда вы запустите... [2518.90-2522.50] Среда сама в себе может быть довольно стахастической. [2522.92-2525.76] Но если у вас и у алгоритма большая дисперсия, [2525.76-2500.00]  [2504.40-NA] то даже с теоретическими гарантиями вы можете сходиться без проблем.
[2525.00-2534.66] дисперсия то даже с теоретическими гарантиями вы можете сходиться бесконечно долго но неужели [2534.66-2540.26] алгоритма есть только одни недостатки на самом деле у него есть достоинства он оценивается то [2540.26-2549.18] что вам нужно причем не смещена и в так у него стереотипе грань а минусы как мы с вами отметили [2549.18-2554.84] это мы должны оканчивать эпизоды доигрывать до конца что в не эпизодических следов не позволить [2554.84-2525.00]  [2525.16-NA] открытия.
[2550.00-2552.52] оканчивать эпизоды, доигрывать до конца, [2552.90-2554.38] что в неэпизодических средах [2554.38-2556.40] непозволительно. И у него большая [2556.40-2558.30] дисперсия. Есть ли [2558.30-2560.40] альтернативы? А вспомню, что у нас на самом деле [2560.40-2562.06] есть [2562.06-2564.02] уравнение Балмана, [2564.20-2565.76] который связывают [2565.76-2568.76] Вэйку [2568.76-2570.02] через один шаг. [2570.58-2572.34] Ну, кстати, давайте поиграем с вами [2572.34-2573.68] в ассоциативный ряд. [2574.18-2575.84] Здесь есть четыре уравнения. [2576.28-2578.46] Какое из них лишнее? Какое вы бы [2578.46-2578.94] выкинули?
[2575.00-2578.84] четыре уравнения какой из них лишний такое было бы выкинули [2578.84-2588.20] какой меньше всего похоже на остальные [2588.20-2603.48] право верхние так право верхние это еще один ответ а вот в чате написали 4 имеется ввиду [2603.48-2575.00]  [2576.30-NA] в виду какой именно.
[2600.00-2609.34] в чате написали 4 имеется ввиду какой именно 4 давайте я вот так вот пронумерую один [2609.34-2621.32] пью со звездой я понял так у нас есть два ответа давайте 3 дождемся и узнаем правильный ответ
[2625.00-2635.18] Похоже, третий будет мой. [2635.18-2640.32] В общем, самое странное уравнение, не похожее на [2640.32-2647.20] другое, — это вот это уравнение, потому что все остальные [2647.20-2651.76] представляют из себя правой частью от ожидания по какому-то [2651.76-2625.00]  [2627.70-NA] распределению, а здесь максимум.
[2650.00-2652.30] Правая часть — это мотожидание по какому-то распределению, [2652.80-2656.54] а здесь максимум от мотожидания. [2657.82-2659.12] Почему для нас это важно? [2662.72-2663.92] Почему для нас это важно? [2664.04-2667.24] Потому что есть такая теория статистической аппроксимации, [2668.56-2672.26] которая в упрощенном виде, она на самом деле более сложная, [2672.86-2676.42] но в упрощенном виде, в том сетапе, в котором мы сейчас работаем, [2676.42-2650.00]  [2653.00-NA] Мы хотим оценить надожидание от...
[2675.00-2682.44] сетапе в котором мы сейчас работаем мы хотим оценить над ожидания от неизвестного нам распределения из [2682.44-2688.32] которого нам в лучшем случае доступны центу соответственно можно запустить вот такой [2688.32-2696.66] итерационный процесс обратить внимание что он похож на всем нам известный алгоритм градиентного [2696.66-2675.00]  [2683.24-NA] градиентного спуска и это первая интерпретация вторая вот
[2700.00-2705.52] И это первая его интерпретация, вторая его интерпретация [2705.52-2710.62] через вот такое вглаженное среднее. [2710.62-2715.30] То есть у нас есть уже текущая аппроксимация ttk, когда нам [2715.30-2721.20] приходит новый сэмпл xk, мы с какими-то весами берем [2721.20-2724.04] старую аппроксимацию, с какими-то весами берем новую [2724.04-2725.04] аппроксимацию. [2725.04-2700.00]  [2705.00-NA] Если αk равняется один делить на k, то это будет равен
[2725.00-2737.12] Если альфа k равняется 1 делить на k, то мы просто получим формулу детерминированного пересчета среднего. [2737.76-2745.02] Если у вас есть k-минус один элемент, вы посчитали среднее, у вас приходит k-элемент. [2745.02-2752.24] Это такая формула онлайн-апдейта для вашего среднего, которую вы можете использовать. [2754.18-2725.00]  [2727.76-NA] А что вы думаете о том, что мы должны делать?
[2750.00-2752.24] который вы можете использовать. [2754.24-2757.00] Что? Зачем это нам? [2757.36-2760.26] На самом деле есть такая теорема, теорема Робинсона-Ван Ро, [2760.68-2765.76] которая утверждает, что если альфа-каты удовлетворяют такому условию, [2766.24-2768.72] и есть еще некоторые технические условия, [2768.72-2775.98] то последовательность тет-такатых сходится к тет-созвездой в L2. [2776.32-2750.00]  [2754.02-NA] Это значит, что мы от ожидания квадрата разности...
[2775.00-2780.66] В L2 это значит, что от ожидания квадрата разности сходится к нулю. [2782.08-2784.10] Довольно сильная сходимость. [2784.72-2790.00] Из этой сходимости, в частности, следует сходимость по распределению и сходимость по... [2791.04-2794.00] Исходимость по распределению сходится, когда следует сходимость по... [2794.00-2794.94] Ой, извините. [2795.68-2800.60] Из сходимости в L2 следует сходимость по вероятности, [2800.74-2803.50] из сходимости по вероятности следует сходимость по распределению. [2804.30-2775.00]  [2776.00-2777.00] Вот, то есть, вираж, который мы видим, это, конечно, вираж, который мы видим в этом случае, это вираж, который [2777.00-2778.00] мы видим в этом случае, это вираж, который мы видим [2778.00-2779.00] в этом случае, это вираж, который мы видим в этом [2779.00-2780.00] случае, это вираж, который мы видим в этом случае, [2780.00-2781.00] это вираж, который мы видим в этом случае, это вираж, [2781.00-2782.00] который мы видим в этом случае, это вираж, который [2782.00-2783.00] мы видим в этом случае, это вираж, который мы видим [2783.00-2784.00] в этом случае, это вираж, который мы видим в этом [2784.00-2785.00] случае, это вираж, который мы видим в этом случае, [2785.00-2786.00] это вираж, который мы видим в этом случае, это вираж, который [2786.00-2787.00] мы видим в этом случае, это вираж, который мы видим в этом [2787.00-2788.00] случае, это вираж, который мы видим в этом случае, это вираж, который [2788.00-2789.00] мы видим в этом случае, это вираж, который мы видим в этом
[2800.00-2804.68] вероятности необходимость по вероятности исходимость по распределению то есть в [2804.68-2812.60] иерархии этот вид сходимости довольно высоко зачем это нам как вдохновляющий пример для [2812.60-2821.24] того как бы что что мы что мы сделали какой алгоритм у нас уже был вот монтекарло полисе [2821.24-2800.00]  [2807.92-NA] Сервалейшн у нас был алгоритм, который на самом деле очень похож на вот эту процедуру.
[2825.00-2837.42] похож на на вот эту процедуру то есть у нас есть какая-то здесь правда с точной замены минус на [2837.42-2843.84] плюс вот как бы тета-ката это наша текущая проектироваться на тюка то это наша тета-ката [2843.84-2853.86] терминов джека от это наша x как и вот соответственно с помощью такой итерационной [2853.86-2825.00]  [2826.00-NA] процедуры мы как раз
[2850.00-2861.56] С помощью такой итерационной процедуры мы как раз сможем оценивать наше среднее, и у нас даже есть теоретические гарантии. [2864.14-2850.00]  [2860.12-2868.28] что можно да мы уже мы уже знаем что-то горит не идеальный его есть недостатки можно сделать лучше давайте вспомним что на самом деле у нас есть уравнение балмана и мы можем как бы из
[2875.00-2880.38] у нас есть уравнение Беллмана, и мы можем использовать [2880.38-2889.22] это уравнение Беллмана, чтобы придумать наш следующий [2889.22-2891.94] сэмпл, таргет, на который мы будем учиться. [2891.94-2875.00]  [2888.06-NA] То есть QK, просто Q функция для политики Пи — это не только
[2900.00-2928.08] Для политики P это не только матожидание для G, для кумулятивной награды, но это еще и награда плюс гамма матожидание от Q, Q'H'. [2928.08-2900.00]  [2901.92-NA] Вот, мы-то ждали его.
[2925.00-2934.70] штрих а штрих вот мы-то ждали по штриха штрих вот соответственно как бы можно использовать [2934.70-2948.12] можем использовать и плюс гамма на состоянии штрих а стрикер состоянии штрих действие а [2948.12-2925.00]  [2931.06-NA] Почему это лучше? Потому что здесь мы как бы используем один сэмпл.
[2950.00-2959.16] здесь мы как бы используем один сантом один информацию о среде при этом мы используем как [2959.16-2969.50] бы нашу текущую оценку для и кучу оценку то текущую аппликацию по функции и нам не нужно [2969.50-2977.30] доигрывать эпизоды конца буквально нужно сделать получается один шаг среде то есть и состояние [2977.30-2950.00]  [2952.58-NA] С', сделав действие A,
[2975.00-2983.34] шаг среде то есть и состоянии с штрих сделав действие перейти состоянии здесь есть индекс [2983.34-2991.50] sts то плюс один и состоянии ст перейти состоянии 100 плюс 1 а дальше посмотреть [2991.50-2997.98] просамплировать состояние от и плюс один из этого состояния 100 плюс 1 и вот для него [2997.98-2975.00]  [2981.88-NA] посчитать и аку функции с точки зрения с точки зрения каких-то терминов
[3000.00-3009.88] С точки зрения каких-то терминов, вот у нас R плюс гамма Q будет называться таргетом, [3010.28-3012.80] а вот эта разность будет называться temporal difference. [3012.80-3015.80] Отсюда и название алгоритма. [3016.46-3022.52] На самом деле алгоритм TD0 называется. [3023.32-3000.00]  [3007.10-NA] ТД-1 это монтаж.
[3025.00-3030.16] CD1 это монтагарда. [3030.16-3034.44] Потом чуть позже поймем почему от 0 до 1. [3034.44-3040.58] В общем, вот такой алгоритм позволяет не дайвировать [3040.58-3043.44] эпизоды до конца, позволяет использовать и информацию [3043.44-3046.50] из среды и свою текущую аппроксимацию. [3046.50-3050.96] Буквально, смотрите, раскрывается важная фича обучения с [3050.96-3051.96] подкреплением. [3051.96-3025.00]  [3026.56-NA] Таргеты нам никто не дал?
[3050.00-3076.24] Обращение с подкреплением. Таргеты нам никто не дал. Настоящие таргеты довольно шумные. Вот этот таргет шумный. Давайте как бы тянуть за волосы сами себя. Придумывать себе таргет на ходу, выкладывать перед собой железную дорогу, чтобы ехать на нашем паровозе. [3076.88-3050.00]  [3053.76-NA] Соответственно, вот, таргеты мы придумываем на ходу и
[3075.00-3080.70] на нашем паровозе. Соответственно, вот, таргеты мы придумываем на ходу, используя нашу текущую [3080.70-3089.06] аппроксимацию. Этот процесс еще называется bootstrapping, но не тот bootstrapping, когда мы из распределения [3089.06-3075.00]  [3089.28-NA] а именно в контексте reinforcement learning. Вопросы? Сергей, можно вопрос про альфа-каты?
[3100.00-3103.76] Сергей, можно вопрос про альфа-каты? [3103.76-3106.72] В данном контексте почему она зависит от состояния [3106.72-3109.56] действия и вообще где ее взять? [3109.56-3114.20] Альфа-каты можно воспринимать как learning rate, и в целом для [3114.20-3116.76] каждой пары состояния действия он может быть свой. [3116.76-3121.18] Ну, то есть это гиперпараметр, который мы изначально как-то [3121.18-3122.18] задаем? [3122.18-3124.18] Или последовательный гиперпараметр. [3124.18-3129.98] Например, альфа-каты равна один делить на х.
[3125.00-3134.16] альфа-каты равна один делить на k. Это хороший вопрос, вы поймете почему важно чтобы он еще [3134.16-3142.50] зависел состояние и действие. Ну вот здесь получается глобальный параметр который не зависит от состояния и [3142.50-3154.00] действия и он кстати даже подчиняется условиям Робинсона Монро. Сумма один делить на k расходится, а сумма [3154.00-3125.00]  [3126.00-NA] думаю.
[3150.00-3160.74] сумма один делить на карте сходится а сумма один делить на к квадрат и квадрат на шесть [3160.74-3170.20] неважно короче она сходится так что вот вот пример почему сейчас поймем почему важно что [3170.20-3175.38] почему альфа к ты должна зависит и они действия вот представьте что [3175.38-3150.00]  [3154.60-NA] что мы как бы находимся в тесном порядке.
[3175.00-3185.86] что мы как бы находимся в мы пытаемся подтянуть себя под действие вот этой теоремы здесь у нас [3185.86-3192.62] задач задача статическая у нас мы оцениваем одном от ожидания для одного распределения здесь у нас [3192.62-3199.56] этих распределений по количеству пар состоянии действия вот поэтому как бы и в общем случае [3199.56-3175.00]  [3177.70-NA] альфа-каты может зависеть от состояния действий.
[3200.00-3214.22] может зависеть от состояния действий. Еще один вариант, здесь мы использовали Bellman [3214.22-3221.04] expectation equation. Давайте использовать Bellman optimality equation. Вот используем такой таргет, [3221.04-3225.44] кажется, что разница небольшая, на самом деле обратите внимание, что здесь у нас есть [3225.44-3200.00]  [3203.32-3204.54] есть дополнительные ограничения, то действие «Аштрик» должно прийти из той позиции, которую мы уже говорили.
[3225.00-3230.38] здесь у нас есть дополнительные ограничения, то действие h' должно прийти из той политики, [3230.38-3243.84] которую мы оцениваем. Мы все еще мысленно здесь везде прописываем π. А здесь такого ограничения [3243.84-3250.08] нет, потому что в состоянии штрих мы берем максимум его действия. При этом у нас нет ограничений, [3250.08-3225.00]  [3229.92-NA] откуда приходит состояние S&A, поэтому в целом как бы...
[3250.00-3259.48] откуда приходит состояние с ей поэтому в целом как бы кажется есть такое ощущение что этот алгоритм [3259.48-3267.18] чем-то лучше чем чем чем но мы поймем поймем какие свойства есть у того и другого просто сам факт [3267.18-3273.76] того что здесь по-прежнему нужно обеспечить что и штрих у вас приходят именно из той среды для [3273.76-3250.00]  [3252.32-NA] для которой вы пытаетесь выучиться.
[3275.00-3281.96] Кстати, вопрос. [3281.96-3285.86] При фиксированной политике к чему вот такой алгоритм [3285.86-3286.86] сойдется? [3286.86-3292.76] Фиксируемую политику Пи? [3292.76-3275.00]  [3286.62-NA] Кому сойдется такой алгоритм?
[3300.00-3320.94] хочется сказать что там к среднему и сойдется среднем очень почему именно ну какого-то [3320.94-3327.24] среди аналогию как бы с полисе трейшн сказать что вот как бы мы там мы там тоже находили [3327.24-3300.00]  [3302.44-NA] или там V для всех стритов.
[3325.00-3331.96] что вот как бы мы там мы там тоже находили с там в для всех стоит of прификсированной политики ну [3331.96-3340.90] извая можно получить кью вот так и сделаем к этому и сидя у нас здесь ваших нет у нас есть только [3340.90-3350.44] кружка я так понимаю но смотрите у нас есть политика пи у вас есть некоторые настоящее значение функции [3350.44-3325.00]  [3329.22-NA] Утверждается, что...
[3350.00-3364.52] утверждается что вот этот процесс сойдется как юг и вот настоящих кипи по l2 до поля 2 [3364.52-3378.18] если все все условия тире он будет выполнен ну как минимум давайте давайте более слабое [3378.18-3350.00]  [3351.78-NA] освободления по вероятности.
[3375.00-3379.50] Ну, как минимум, давайте более слабое распределение. [3379.50-3380.76] По вероятности, точно сойдется. [3380.76-3389.50] Соответственно, теперь вопрос, к чему сойдется вот этот [3389.50-3390.50] алгоритм? [3390.50-3397.50] — Ну, к Q звездочкам. [3397.50-3401.50] — К Q звездочкам. [3401.50-3375.00]  [3378.50-NA] Да, он подойдет как звездочка, причем, как бы, в том числе,
[3400.00-3409.02] да он подойдет а какие звездочку причем неважно обратить внимание что этот алгоритм агностика [3409.02-3415.96] по отношению к политике то есть несмотря на то что действие у вас могут приходить из какой-то [3415.96-3421.18] политики может быть разных политик здесь нет ограничений то сойдетесь все равно к юсу звездой [3421.18-3400.00]  [3408.82-NA] И у этого есть... Это довольно серьезное утверждение, потому что...
[3425.00-3433.28] есть это довольно серьезное утверждение потому что если это так то кажется что вот этот алгоритм всем [3433.28-3440.88] всем лучше и если заезд и создать давайте потом восстановим детерминированным образом исключить [3440.88-3453.72] нашу политику и считаемые мы решили задачу целом вот мы с вами по сути рассмотрели три алгоритма [3453.72-3425.00]  [3426.24-NA] сейчас Монте-Кай.
[3450.00-3454.28] Мы, по сути, рассмотрели три алгоритма сейчас. [3454.54-3455.14] Монте-Кайло. [3459.10-3460.42] Этот называется Cool Learning. [3464.14-3465.96] Это называется Saksa. [3470.58-3473.12] Надо понять, надо на чем-то остановиться [3473.12-3478.66] или понять, в каких ситуациях тот или иной алгоритм лучше.
[3475.00-3484.54] каких ситуациях тот или иной алгоритм лучше. Давайте как бы препарировать свойства каждого из этих [3484.54-3495.50] алгоритмов, но прежде чем это сделаем, давайте обратим внимание на вот это условие. У нас, [3495.50-3475.00]  [3484.44-NA] знаете такой перед придав между тем чтобы как можно сильнее удовлетворять как
[3500.00-3515.24] сильнее удовлетворять каким-то формальным условиям можно было создать а штрих это что а штрих здесь [3515.24-3524.38] или или вот здесь ну вот это а штрих это то действие которое мы сделаем состояние с с штрих [3524.38-3500.00]  [3505.38-NA] СТ плюс один. Короче, А штрих это АТ плюс один вот на этой картинке.
[3525.00-3530.00] Короче, а штрих это а т плюс один вот на этой картинке. [3530.00-3532.00] В состоянии с штрих. [3532.00-3534.00] С т плюс один. [3534.00-3537.00] Ну, да, с штрих равняется с т плюс один. [3537.00-3539.00] Вот в этом состоянии. [3539.00-3541.00] Ага, спасибо большое. [3541.00-3544.00] Так. [3544.00-3547.00] Пытаюсь зарекарить, о чем я говорил. [3547.00-3553.00] Да, предофф, мы пытаемся как можно ближе быть к каким-то теоретическим гарантиям, [3553.00-3525.00]  [3527.00-NA] каким-то теоретическим гарантиям, но при этом...
[3550.00-3556.00] как можно ближе быть к каким-то теоретическим гарантиям но при этом хотим расширять скуп [3556.00-3563.68] тех задач которые мы можем решать вот одно из теоретических требований да и одно из требований [3563.68-3572.08] теоремы это чтобы сумма коэффициентов альфа-каты была бесконечность так называемый инфинит визит [3572.08-3578.14] и почему инфинит визит ищут потому что чтобы эта сумма была бесконечная необходимо как минимум [3578.14-3550.00]  [3551.84-NA] чтобы в ней было бесконечное число флагов.
[3575.00-3580.32] Чтобы эта сумма была бесконечной, необходимо как минимум, чтобы в ней было бесконечное число слагаемых. [3580.98-3589.00] Чтобы в ней было бесконечное число слагаемых, вы должны пару состояния действия SA посетить бесконечное число раз. [3591.06-3592.06] Что это значит? [3592.18-3600.94] Это значит, что у вас политика, с помощью которой вы в среде действуете, должна постоянно исследовать. [3600.94-3575.00]  [3604.98-NA] То есть она не может принять в виду, что это не так.
[3600.00-3608.70] исследовать, то есть она не может пренебрегать какими-то парами состояния действия, потому что [3608.70-3619.24] в противном случае вы для этой пары не сможете сойтись к оптимальному значению. [3619.70-3626.36] Может быть, оно вам и не надо. Хороший вопрос. Нужно ли вам оценивать функцию для всех пар [3626.36-3600.00]  [3601.00-3603.64] состояние действий. Скорее, нет, потому что в некоторых условиях, в которых
[3625.00-3631.96] состоянии пар состоит скорее нет потому что в некоторое состояние вы попадете с вероятностью [3631.96-3636.82] ноль просто потому что они но слишком плохие вы не хотите там быть поэтому вы не хотели там [3636.82-3646.10] оценивать к функцию но с точки зрения теории чтобы все то везде сходилось нужно чтобы каждую пару [3646.10-3654.28] посетили бесконечность ну и в целом как бы что это обеспечивает что достаточно чтобы это произошло [3654.28-3625.00]  [3626.00-3627.00] И, конечно, вам нужно перейти к следующему вопросу. Вам нужно перейти к следующему вопросу. [3627.00-3628.00] Вы можете перейти к следующему вопросу. [3628.00-3629.00] Вы можете перейти к следующему вопросу. [3629.00-3630.00] Вы можете перейти к следующему вопросу. [3630.00-3631.00] Вы можете перейти к следующему вопросу. [3631.00-3632.00] Вы можете перейти к следующему вопросу. [3632.00-3633.00] Вы можете перейти к следующему вопросу. [3633.00-3634.00] Вы можете перейти к следующему вопросу. [3634.00-3635.00] Вы можете перейти к следующему вопросу. [3635.00-3636.00] Вы можете перейти к следующему вопросу. [3636.00-3637.00] Вы можете перейти к следующему вопросу. [3637.00-3638.00] Вы можете перейти к следующему вопросу. [3638.00-3639.00] Вы можете перейти к следующему вопросу. [3639.00-3640.00] Вы можете перейти к следующему вопросу. [3640.00-3641.00] Вы можете перейти к следующему вопросу. [3641.00-3642.00] Вы можете перейти к следующему вопросу. [3642.00-3643.00] Вы можете перейти к следующему вопросу. [3643.00-3644.00] Вы можете перейти к следующему вопросу.
[3650.00-3656.68] обеспечивают что достаточно чтобы это произошло вам нужно когда статистическая политика которая [3656.68-3666.92] с ненулевой вероятностью для каждого состояния ходит вовсе по все действия возвращает и действия [3666.92-3673.62] для фиксированных сцене с какой-то не верой вероятности давайте посмотрим на две стороны [3673.62-3650.00]  [3656.40-NA] стороны спектра.
[3675.00-3685.26] это нас приводит на самом деле к такой довольно релевантной дилемме которые в реальной жизни [3685.26-3695.20] появляется а именно exploration exploitation то есть какое когда можно свои знания о мире возможно они [3695.20-3704.56] не полны использовать для того чтобы максимизировать свою награду какую-то а когда лучше по исследовать [3704.56-3675.00]  [3677.46-NA] по
[3700.00-3709.88] свою награду какую-то а когда лучше по исследовать по уходить по недавно открытым рестораном чтобы [3709.88-3718.84] найти какой-то получше вы за это платите у вас есть так называемый черный тип коз то есть пока [3718.84-3727.06] вы исследуете вы действуете неоптимально ну или или тратите время на какие-то неоптимальные действия [3727.06-3700.00]  [3702.94-NA] действия, но опять же, в конечном итоге, если вы...
[3725.00-3727.44] какие-то неоптимальные действия. [3727.74-3729.30] Но опять же, в конечном итоге, [3729.78-3731.90] если вы найдете какой-то, [3732.06-3733.32] в данном случае ресторан, [3733.40-3735.22] который намного лучше, [3735.90-3738.40] чем то, куда вы ходили до этого, [3738.60-3741.96] то все ваши страдания опутаются. [3742.42-3743.32] Но это может быть, [3743.74-3744.88] и это может и не случиться. [3745.44-3747.44] Поэтому тут, опять же, [3747.44-3749.34] нужно какой-то баланс соблюдать. [3749.86-3751.22] Соблюдать между тем, [3752.46-3753.44] между тем, чтобы пользоваться [3754.04-3725.00]  [3726.56-NA] пользоваться всем своим знанием.
[3750.00-3754.76] соблюдать между тем, чтобы пользоваться всем своим [3754.76-3759.72] знанием, опытом жадно, и тем, чтобы быть открытым [3759.72-3766.96] к каким-то новым вещам, скажем так. [3766.96-3771.72] Не лекция по философии, чисто пытаюсь на пальцах объяснить, [3771.72-3773.62] что это значит. [3773.62-3778.18] Давайте вернемся в более формальное русло. [3778.18-3750.00]  [3751.82-NA] Вот у нас есть две стороны спектра.
[3775.00-3783.10] более формальную более формальное русло вот у нас есть две стороны спектра exploration чисто [3783.10-3791.26] exploration это вот прям самый самый что ни на есть экспрессия это просто случайно политика [3791.26-3797.08] политика которая в каждом состоянии выбирает каждое действие с одинаковой вероятности по [3797.08-3802.90] другую сторону спектра у нас жадная политика причем жадная данном случае оптимально политик [3802.90-3775.00]  [3777.08-NA] Есть, например, кулу.
